Graph 1, Score: 8710; Leaf Nodes Examined: 34 
Graph 2, Score: 8577; Leaf Nodes Examined: 56 
Graph 3, Score: 9012; Leaf Nodes Examined: 75 
Graph 4, Score: 8524; Leaf Nodes Examined: 29 
Graph 5, Score: 9316; Leaf Nodes Examined: 48 
Graph 6, Score: 9866; Leaf Nodes Examined: 228 
Graph 7, Score: 9606; Leaf Nodes Examined: 70 
Graph 8, Score: 9642; Leaf Nodes Examined: 128 
Graph 9, Score: 9603; Leaf Nodes Examined: 115 
Graph 10, Score: 512; Leaf Nodes Examined: 39 
Graph 11, Score: 508; Leaf Nodes Examined: 122 
Graph 12, Score: 511; Leaf Nodes Examined: 146 
Graph 13, Score: 510; Leaf Nodes Examined: 112 
Graph 14, Score: 913; Leaf Nodes Examined: 134 
Graph 15, Score: 967; Leaf Nodes Examined: 126 
Graph 16, Score: 1022; Leaf Nodes Examined: 78 
Graph 17, Score: 629; Leaf Nodes Examined: 50 
Graph 18, Score: 1007; Leaf Nodes Examined: 72 
Graph 19, Score: 1015; Leaf Nodes Examined: 129 
Graph 20, Score: 789; Leaf Nodes Examined: 83 
Graph 21, Score: 1023; Leaf Nodes Examined: 155 
Graph 22, Score: 1022; Leaf Nodes Examined: 70 
Graph 23, Score: 995; Leaf Nodes Examined: 109 
Graph 24, Score: 768; Leaf Nodes Examined: 51 
Graph 25, Score: 99691; Leaf Nodes Examined: 383 
Graph 26, Score: 98990; Leaf Nodes Examined: 304 
Graph 27, Score: 65028; Leaf Nodes Examined: 254 
Graph 28, Score: 40119; Leaf Nodes Examined: 214 
Graph 29, Score: 79898; Leaf Nodes Examined: 103 
Graph 30, Score: 214; Leaf Nodes Examined: 13 
Graph 31, Score: 100; Leaf Nodes Examined: 12 
Graph 32, Score: 239; Leaf Nodes Examined: 15 
Graph 33, Score: 133; Leaf Nodes Examined: 6 
Graph 34, Score: 180; Leaf Nodes Examined: 12 
Graph 35, Score: 181; Leaf Nodes Examined: 9 
Graph 36, Score: 645; Leaf Nodes Examined: 10 
Graph 37, Score: 537; Leaf Nodes Examined: 7 
Graph 38, Score: 518; Leaf Nodes Examined: 8 
Graph 39, Score: 687; Leaf Nodes Examined: 8 
Graph 40, Score: 737; Leaf Nodes Examined: 6 
Graph 41, Score: 500; Leaf Nodes Examined: 18 
Graph 42, Score: 511; Leaf Nodes Examined: 52 
Graph 43, Score: 497; Leaf Nodes Examined: 55 
Graph 44, Score: 490; Leaf Nodes Examined: 31 
Graph 45, Score: 349; Leaf Nodes Examined: 32 
Graph 46, Score: 32; Leaf Nodes Examined: 23 
Graph 47, Score: 19; Leaf Nodes Examined: 24 
Graph 48, Score: 32; Leaf Nodes Examined: 36 
Graph 49, Score: 17; Leaf Nodes Examined: 20 
Graph 50, Score: 22; Leaf Nodes Examined: 26 
